,title,price,mileage,Trim,Transmission,Engine,Drivetrain,VIN,Exterior Color,Condition,Mileage,Body Style,Stock #,Interior Color,Fuel Type,Gas Mileage,Doors,Cabin,Bed,Rear Wheel
0,"2022 Tesla Model 3 Base
$36,000
est. $519/mo","$36,000","13,611 miles",Base,automatic,Electric,RWD,5YJ3E1EA4NF356241,Black,used,13611,sedan,PC568C,,,,,,,
1,"2018 Tesla Model S 100D
$37,000
est. $533/mo","$37,000","25,568 miles",100D,automatic,Electric,AWD,5YJSA1E21JF263946,Blue,used,25568,sedan,SGF3946,Black,,,,,,
2,"2020 Tesla Model 3 Long Range AWD 4dr Sedan
$31,225
est. $450/mo","$31,225","39,980 miles",Long Range AWD 4dr Sedan,automatic,ElectricElectric,AWD,5YJ3E1EBXLF616325,Midnight Silver Metallic,used,39980,sedan,L069,Black,,,,,,
3,"2015 Tesla Model S P90D
$21,900
est. $316/mo","$21,900","109,290 miles",P90D,automatic,Electric Motor,AWD,5YJSA1E45FF109684,Obsidian Black Metallic,used,109290,sedan,109684,,,,,,,
4,"2016 Tesla Model S 75D - NAVIGATION - PRICED TO SELL
$22,990
est. $331/mo","$22,990","108,608 miles",75D - NAVIGATION - PRICED TO SELL,automatic,0 Cylinders,AWD,5YJSA1E22GF157174,Midnight Silver Metallic,used,108608,sedan,157174,Black,,,,,,
5,"2018 Tesla Model 3 Long Range
$31,998
est. $461/mo","$31,998","48,963 miles",Long Range,automatic,Electric Motor,AWD,5YJ3E1EBXJF151185,White,used,48963,sedan,56AB475T,Black,,,,,,
6,"2022 Tesla Model 3 Performance
$40,991
est. $591/mo","$40,991","19,196 miles",Performance,automatic,Electric Motor,AWD,5YJ3E1ECXNF358478,Pearl White Multi-Coat,used,19196,sedan,NF358478,Black,,,,,,
7,"2016 Tesla Model S 75D
$26,500
est. $382/mo","$26,500","70,033 miles",75D,automatic,Electric Motor,AWD,5YJSA1E26GF173412,Deep Blue Metallic,used,70033,sedan,K47979A,Black,,,,,,
8,"2013 Tesla Model S Base
$21,400
est. $308/mo","$21,400","69,107 miles",Base,automatic,ELECTRIC,RWD,5YJSA1AG6DFP09661,Blue Metallic,used,69107,sedan,PP09661,Black,,,,,,
9,"2021 Tesla Model 3 Long Range
$35,365
est. $510/mo","$35,365","32,499 miles",Long Range,automatic,Electric Motor,AWD,5YJ3E1EB9MF061630,Pearl White Multi-Coat,used,32499,sedan,KS061630,Black,,,,,,
10,"2013 Tesla Model S Performance
$26,498
est. $382/mo","$26,498","48,301 miles",Performance,automatic,3-Phase/4-Pole Electric w/High-Performance Drive Inverter,RWD,5YJSA1DP2DFP17574,Silver,used,48301,sedan,KBB1393,,,,,,,
11,"2016 Tesla Model S 70 kWh Battery
$21,500
est. $310/mo","$21,500","93,343 miles",70 kWh Battery,automatic,Electric,RWD,5YJSA1E16GF131474,Blue,used,93343,sedan,T18427,,,,,,,
12,"2013 Tesla Model S Performance
$19,995
est. $288/mo","$19,995","144,673 miles",Performance,automatic,ELECTRIC,RWD,5YJSA1DP4DFP26700,Blue Metallic,used,144673,sedan,P26700,,,,,,,
13,"2016 Tesla Model S 60
$26,977
est. $389/mo","$26,977","84,928 miles",60,automatic,Electric Motor,RWD,5YJSA1E1XGF154126,Red Multi-Coat,used,84928,sedan,P154126,Black,,,,,,
14,"2022 Tesla Model 3 Long Range AWD
$35,995
est. $519/mo","$35,995","19,520 miles",Long Range AWD,automatic,ELECTRIC,AWD,5YJ3E1EB1NF128383,Black,used,19520,sedan,23467,White,,,,,,
15,"2021 Tesla Model S Plaid
$66,977
est. $965/mo","$66,977","42,666 miles",Plaid,automatic,Electric,AWD,5YJSA1E64MF452095,Black,used,42666,sedan,794717,Black,,,,,,
16,"2015 Tesla Model S 85D
$37,998
est. $548/mo","$37,998","17,978 miles",85D,automatic,0 Cylinders,AWD,5YJSA1E25FF104175,Pearl White Multi-Coat,used,17978,sedan,104175,Black,,,,,,
17,"2022 Tesla Model 3 Base
$33,991
est. $490/mo","$33,991","7,227 miles",Base,automatic,Electric Motor,RWD,5YJ3E1EA5NF327900,Pearl White Multi-Coat,used,7227,sedan,RPU086016A,Black,,,,,,
18,"2020 Tesla Model 3 Standard Range Plus Sedan 4D
$27,999
est. $404/mo","$27,999","50,755 miles",Standard Range Plus Sedan 4D,automatic,AC Electric Motor,RWD,5YJ3E1EA0LF796910,blue,used,50755,sedan,5522,black,,,,,,
19,"2014 Tesla Model S 60 kWh Battery / 60D / PREMIUM CONNECTIVITY / LEATHER / SUNROOF
$20,995
est. $303/mo","$20,995","134,686 miles",60 kWh Battery / 60D / PREMIUM CONNECTIVITY / LEATHER / SUNROOF,automatic,L Electric Motor,RWD,5YJSA1S19EFP47915,Gray Metallic,used,134686,sedan,FC13050,Gray,,,,,,
20,"2018 Tesla Model 3 Long Range Battery
$23,900
est. $344/mo","$23,900","96,307 miles",Long Range Battery,automatic,Electric,RWD,5YJ3E1EA8JF022577,Blue,used,96307,sedan,X3238,Black,,,,,,
21,"2018 Tesla Model 3 Mid Range
$26,482
est. $382/mo","$26,482","52,821 miles",Mid Range,automatic,Electric,RWD,5YJ3E1EA4JF186537,Pearl White Multi-Coat,used,52821,sedan,P0671,White,,,,,,
